source_filename,Agreement Name,Agreement Classification,Agreement Date,Party1 Name,Party1 Role,Party2 Name,Party2 Role,Term,Renewal Term,Recurring Monthly Charges, Nonrecurring Charges ,Connection Services,Professional Services,Equipment,Locations
19561671568713_666127 - ACORN HEALTH - MSA - Copy.pdf,ACC Business Multi-Service Agreement,Master Service Agreement,12/20/2022,AT&T Corp. d/b/a ACC Business,Provider,Acorn Health,Customer,,,,,[],[],[],"['75 Valencia Ave, Suite 1120 Coral Gables, FL 33134 USA', '400 West Avenue Rochester, NY 14611 USA']"
19561670521854_ACCB_AIA_ACS_Multi_Service_Agreement (6) Acorn Health.pdf,ACC BUSINESS MULTI-SERVICE AGREEMENT,Master Service Agreement,12/7/2022,AT&T Corp. d/b/a ACC Business,Provider,Acorn Health,Customer,,,,,[],[],[],"['75 Valencia Ave, Suite 1120, Coral Gables, FL 33134, US', '400 West Avenue, Rochester, NY 14611, USA']"
19561731684900_ACCB_AIA_ACS_Multi_Service_Agreement (6) Acorn Health.pdf,ACC BUSINESS MULTI-SERVICE AGREEMENT,Master Service Agreement,12/7/2022,AT&T Corp. d/b/a ACC Business,Provider,Acorn Health,Customer,,,,,[],[],[],"['75 Valencia Ave, Suite 1120, Coral Gables, FL 33134, US', '400 West Avenue, Rochester, NY 14611, USA']"
19561670521853_ACCB_AIA_E_contract_PS401 (6) Acorn Health.pdf,PRICING SCHEDULE,Pricing,12/7/2022,AT&T Corp. d/b/a ACC Business,Provider,Acorn Health,Customer,36,,,,['AT&T Internet Access as sold by ACC Business aka AT&T High Speed Internet - Enterprise'],[],[],"['75 Valencia Ave, Suite 1120 Coral Gables, FL 33134 US', '400 West Avenue Rochester, NY 14611 USA']"
19561731684900_ACCB_AIA_E_contract_PS401 (6) Acorn Health.pdf,PRICING SCHEDULE,Pricing,12/7/2022,AT&T Corp. d/b/a ACC Business,Provider,Acorn Health,Customer,36,,,,['AT&T Internet Access as sold by ACC Business aka AT&T High Speed Internet - Enterprise'],[],[],"['75 Valencia Ave, Suite 1120 Coral Gables, FL 33134 US', '400 West Avenue Rochester, NY 14611 USA']"
19561671568711_666127 - ACORN HEALTH - Contract - Copy.pdf,AT&T Internet Access as sold by ACC Business PRICING SCHEDULE,Pricing,12/20/2022,AT&T Corp. d/b/a ACC Business,Provider,Acorn Health,Customer,36,,,,['AT&T Internet Access as sold by ACC Business aka AT&T High Speed Internet - Enterprise'],[],[],"['75 Valencia Ave, Suite 1120 Coral Gables, FL 33134 US', '400 West Avenue Rochester, NY 14611 USA']"
19561658424578_ACORN HEALTH 235 E CHICAGO ST.pdf,Spectrum Enterprise Service Agreement,Service Agreement,7/21/2022,"Charter Communications Operating, LLC",Provider,Acorn Health,Customer,36,,379,,['Fiber Internet Access'],[],[],"['235 E CHICAGO ST STE 3 COLDWATER MI 49036', '1700 Union Avenue STE B Baltimore MD 21211']"
19561658166039_ACORN HEALTH 235 E CHICAGO ST.pdf,Spectrum Enterprise Service Agreement,Service Agreement,7/18/2022,"Charter Communications Operating, LLC",Provider,Acorn Health,Customer,36,,379,,['Fiber Internet Access'],[],[],"['235 E CHICAGO ST, COLDWATER, MI 49036']"
41628606108_COMCAST.pdf,Move / Upgrade of Service Form,Service Form,8/10/2021,Comcast Business,Provider,Acorn Health Inc,Customer,,,,,"['Business Internet', 'SmartOffice', 'Business TV', 'Business Voice', 'Business VoiceEdge', 'PRI', 'SIP']",,,"['538 Brandies Cir Suite 101 Murfreesboro, TN 37128-8421', '538 Brandies Cir Suite 102 Murfreesboro, TN 37128-8421']"
19561646932799_kpeltz_Innovative Business Solutions_Kate Wainwright _comcast_packages_3-10-2022.pdf,COMCAST BUSINESS SERVICE ORDER AGREEMENT,Order,3/10/2022,"Comcast Cable Communications Management, LLC",Provider,ACORN HEALTH,Customer,36,,304.85,$119.95 ,['Business Internet 200 (200/20)'],[],"['Modem (Docsis 3.1 Device)', '5 Static IPs']","['3122 Commerce Pkwy, Miramar, Florida 33025', '1700 Union Ave, Suite B, Baltimore, MD 21211']"
