source_filename,Agreement Title,Agreement Classification,Party1 Name,Party1 Role,Party2 Name,Party2 Role,Agreement Date,Term,Renewal Term,Monthly Recurring Charges (MRC),Nonrecurring Charges (NRC),Services,Service Locations,Payment Terms
19561687976725_amended_FSA_Southeastern_Paper_Group_26May2023_(003).pdf,Frontier Services Agreement,Services Agreement,"Frontier Communications of America, Inc.",Provider,Southeastern Paper Group,Customer,06/28/2023,Service Term with respect to any Service or Equipment provided pursuant to this FSA,"Unless otherwise stated in the Schedule, the Service Term and billing for the Service, will begin upon the earlier of (i) Customer's use of the applicable Service(s) or Equipment or (ii) five (5) days following Frontier's installation of such Service(s) or Equipment, and such date is deemed the commencement of the applicable Service Term. If neither party provides the other with written notice of its intent to terminate a Service at least sixty (60) days prior to expiration, the Service Term of each Service will automatically renew for additional one-month periods",Not specified.,Not specified.,"['communications', 'installation', 'maintenance services', 'Equipment']",[],Payments shall be due within thirty (30) days of the invoice date
19561681743237_Valor-Ten4 Standard MSA 123020.pdf,MASTER SERVICES AGREEMENT,Master Services Agreement,"Distributed Computing, Inc. dba Ten4",provider,"Valor Healthcare, Inc.",customer,12/31/2020,12,Not specified.,Not specified.,Not specified.,[],[],Customer will pay all Charges as set forth in the SOF for that Service and shall pay according to the terms and conditions set forth in the Addendum for that Service.
19561668722110_ACCB_AIA_ACS_Multi Service Agreement_partially executed 09192022.pdf,ACC Business Multi-Service Agreement,Multi-Service Agreement,AT&T Corp. d/b/a ACC Business,Provider,Select Medical Corporation,Customer,09/19/2022,Not specified.,Not specified.,Not specified.,Not specified.,['ACC Business Services'],[],Not specified.
1321600112147_41593530212_EA Century Link Foley 100MB.pdf,CenturyLink IQ Data Bundle Offer,Data Bundle Agreement,CenturyLink,Provider,Distributed Computing Inc,Customer,06/25/2020,36,month-to-month,$970.00,$0.00,"['IQ Data Bundle', 'IQ Networking Port Internet', 'Local Access', 'ELA Native Single']",['200 E LAUREL AVE FOLEY AL 36535'],Not specified.
19561644594670_19561642540924_Nitel MSA v6 20180404_Enterprise MTM_FINAL 1.14.2022[1].pdf,Master Service Agreement,Service Agreement,NITEL INC.,Provider,"Concentra Health Services, Inc.",Customer,01/14/2022,Each Service Order will state the term for which Service is requested,"Upon expiration of the Initial Service Term, the Service will renew on a month-to-month basis",Not specified.,Not specified.,['communications services'],[],Payment is due 30 days after the invoice date
"10541592404642_Encore Rehab Spectrum coax # 316 Drake Rd Therapy Gym Kalamazoo, MI.pdf",Spectrum Business Business Cable Order for DCI FOR ENCORE REHABILITATION,Business Cable Order,Spectrum Business,Provider,DCI FOR ENCORE REHABILITATION,Customer,06/16/2020,0 Years,Not specified.,$74.98,Not specified.,['Business Cable'],"['1500 TRENT BLVD THERAPY GYM\nLEXINGTON, ΚΥ 40515-1900']",Not specified.
19561688057706_AOF TECH FORM (TSF) Updated 12.7.22.pdf,Technical Selections Form,Technical Form,Frontier Communications,Provider,Cavender Auto Country CBG,Customer,06/15/2023,Not specified.,Not specified.,Not specified.,Not specified.,"['Circuit Hand Off/IP Topology', 'DIA Order', 'EPL/EVPL/ELAN Order', 'SIP Order']","['1700 IH-10 East, Weimar, TX 78962']",Not specified.
19561681743063_Valor-Ten4 Standard MSA 123020.pdf,MASTER SERVICES AGREEMENT,Master Services Agreement,"Distributed Computing, Inc. dba Ten4",provider,"Valor Healthcare, Inc.",customer,12/31/2020,12,Not specified.,Not specified.,Not specified.,[],[],Customer will pay all Charges as set forth in the SOF for that Service and shall pay according to the terms and conditions set forth in the Addendum for that Service.
19561670528167_Nitel MSA v6 20180404_Enterprise MTM_FINAL.docx.pdf,Master Service Agreement,Service Agreement,NITEL INC.,Provider,"Autism Living Experience, LLC",Customer,12/07/2022,"Each Service Order will state the term for which Service is requested (the ""Initial Service Term"")",month-to-month basis,Not specified.,Not specified.,['communications services'],[],Payment is due 30 days after the invoice date
121585080190_CenturyLink- SSH  Tallahassee FL 507150.pdf,CenturyLink® Total Advantage® Express Agreement,Agreement,"CenturyLink Sales Solutions, Inc.",Provider,"Distributed Computing, Inc.",Customer,01/08/2018,Not specified.,Service Terms begin on their Start of Service Date and automatically renew unless terminated by either party.,$139.00,$0.00,"['Fiber+ Internet', 'Business Essentials - Standard', 'Microsoft Office 365 from CenturyLink', 'Basic Web Hosting with Site Builder Tools', 'DNS Registration', 'Data Backup for PC and Laptop', 'Cloud Fax', 'Search Engine Submission']","['1554 Surgeons Dr, Tallahassee, FL 32308']","Customer must pay all charges within 30 days of the invoice date except for CenturyLink QC charges, which Customer must pay by the due date on the invoice."
19561670521853_ACCB_AIA_E_contract_PS401 (6) Acorn Health.pdf,AT&T Internet Access as sold by ACC Business PRICING SCHEDULE,Pricing Schedule,AT&T Corp. d/b/a ACC Business,Provider,Acorn Health,Customer,12/07/2022,36,month-to-month,Not specified.,Not specified.,['AT&T Internet Access as sold by ACC Business aka AT&T High Speed Internet - Enterprise'],['http://serviceguidenew.att.com/sg_flashPlayerPage/DSL'],Not specified.
1321599171952_41593529833_EA_Century Link_Salt Lake_upgrade.pdf,Order,Service Agreement,CenturyLink,Provider,"Education Affiliates, Inc",Customer,06/25/2020,36,Month-to-month,$970.00,$0.00,"['IQ Data Bundle', 'IQ Networking Port Internet', 'Local Access', 'CenturyLink (CLPA) ELA Native Single-CoS Low']",['3949 S 700 E SUIT 150 SALT LAKE CITY UT 84107'],Not specified.
