source_filename,Agreement Name,Agreement Classification,Agreement Purpose,Party1 Name,Party1 Role,Party2 Name,Party2 Role,Effective Date,Signature Date,Term,Renewal Term,Recurring Monthly Charges,Nonrecurring Charges,Services,Locations,Payment Terms,Contract Type,Clauses
"10541592331284_Encore Rehab spectrum coax # 430 Lexington, KY.pdf",Spectrum Business Cable Order,Service Agreement,Service provisioning,Spectrum Business,Provider,DCI FOR ENCORE REHABILITATION,Customer,6/16/2020,Not specified,0,Not specified,74.98,Not specified,Business Cable,"1500 TRENT BLVD THERAPY GYM, LEXINGTON, KY 40515-1900",Not specified,,
"10541592402338_Encore rehab spectrum coax #314 cheboygan, MI.pdf",Spectrum Business Cable Order,Service Agreement,Service Provisioning,Spectrum Business,Provider,DCI for Encore Rehab at Medilodge,Customer,12/17/2018,Not specified.,0,Not specified.,74.98,Not specified.,Business Cable,"824 S HURON ST, CHEBOYGAN, MI 49721-2210",Not specified.,,
"10541592402728_Encore Rehab Spectrum coax #314 Hospital Dr Therapy Gym Class City, MI.pdf",Spectrum Business Cable Order,Service Order,Service Provisioning,Spectrum Business,Provider,DCI FOR ENCORE REHAB AT MEDILODGE,Customer,Not specified.,12/17/2018,0,Not specified.,74.98,Not specified.,Business Cable,"4782 HOSPITAL DR CASS CITY, MI 48726-1049",Not specified.,,
"10541592403295_Encore Rehab Spectrum Coax #314 Golf Course Road Therapy Gym Alpena, MI.pdf",Spectrum Business Business Cable Order,Service Agreement,Service Provisioning,Spectrum Business,Provider,DCI for Encore Rehab at Medilodge,Customer,12/17/2018,Not specified.,0,Not specified.,74.98,Not specified.,Business Cable,"1234 GOLF COURSE RD, ALPENA, MI 49707-1222",Not specified.,,
"10541592403755_Encore Rehab Spectrum coax # 314  Long Rapids Road Therapy Gym Alpena, MI.pdf",Spectrum Business Business Cable Order,Service Agreement,Service Provisioning,Spectrum Business,Provider,DCI for Encore Rehab at Medilodge,Customer,Not specified.,12/17/2018,0,Not specified.,74.98,Not specified.,Business Cable,"301 LONG RAPIDS RD, ALPENA, MI 49707-1317",Not specified.,,
"10541592404642_Encore Rehab Spectrum coax # 316 Drake Rd Therapy Gym Kalamazoo, MI.pdf",Spectrum Business Business Cable Order,Service Order,Service Provisioning,Spectrum Business,Provider,DCI FOR ENCORE REHAB AT MEDILODGE,Customer,Not specified.,12/17/2018,0,Not specified.,74.98,Not specified.,Business Cable,"2575 N DRAKE RD KALAMAZOO, MI 49006-1358",Not specified.,,
"10541592404876_Encore Rehab Spectrum Coax # 316 Currier Drive Therapy Gym Portage, MI.pdf",Spectrum Business Cable Order,Service Agreement,Service Provisioning,Spectrum Business,Provider,DCI for Encore Rehab at Medilodge,Customer,12/17/2018,Not specified.,0,Not specified.,74.98,Not specified.,Business Cable,"7855 CURRIER DR, PORTAGE, ΜΙ 49002-4314",Not specified.,,
"10541592406873_Encore Rehab Spectrum Coax # 330 Warrensburg Rd Therapy Gym Delaware, OH.pdf",Spectrum Business Business Cable Order 280027,Service Agreement,Service provisioning,Spectrum Business,Provider,DCI FOR ENCORE REHAB @ARBORS AT DELAWARE,Customer,12/4/2018,Not specified,0,Not specified,74.98,Not specified,Business Cable 100x10M with 1 Static IP,"2270 WARRENSBURG RD THERAPY GYM DELAWARE, OH 43015-1336",Not specified,,
"10541592407163_Encore Rehab Spectrum Coax # 330 W Main Street Therapy Gym West Jefferson, OH.pdf",Spectrum Business Business Cable Order 280026,Service Agreement,Service Provisioning,Spectrum Business,Provider,DCI FOR ENCORE REHAB @ ARBORS WEST,Customer,12/4/2018,Not specified.,0,Not specified.,74.98,Not specified.,Business Cable 100x10M with 1 Static IP,"375 W MAIN ST THERAPY GYM W JEFFERSON, OH 43162-1298",Not specified.,,
"10541592407586_Encore Rehab Spectrum Coax # 360 Carolyn Court Therapy Gym Office Minerva, OH .pdf",Spectrum Business Business Cable Order 280581,Service Agreement,Service provisioning,Spectrum Business,Provider,DCI for Encore Rehab,Customer,12/6/2018,6/17/2020,0,Not specified.,74.98,Not specified.,Business Cable 100x10M with 1 Static IP,"400 Carolyn Ct Therapy Gym Office, Minerva, OH 44657-8703",Not specified.,,
