source_filename,Source File Name,Agreement Title,Agreement Classification,Party 1 Name,Party 1 Role,Party 2 Name,Party 2 Role,Services,Agreement Flag,Captions Flag,Clause Captions,Schedules/Exhibits/Annexes
121585078471_CenturyLink- Banner PT Phoenix AZ-McDowell MSA.pdf,ctl_doc.pdf,CENTURYLINK® TOTAL ADVANTAGE® EXPRESS - AGREEMENT - Summary Page,Telecommunications Services Agreement,"CenturyLink Sales Solutions, Inc.",Provider,BANNER PHYSICAL THERAPY,Customer,FIBER + ENTERPRISE IA PACKAGE,True,True,"['Services', 'Rates', 'Rate Changes', 'Additional Charges', 'Term and Termination', 'Term', 'Termination', 'Amendments', 'Additional Terms and Conditions', 'Payment', 'Notices', 'Service Notices', 'Legal Notice', 'Credit Approval', 'Disclaimer of Warranties', 'Limitations of Liability', 'Consequential Damages', 'Claims Related to Services', 'Personal Injury; Death; Property Damages', 'Other Direct Damages', '911 Emergency Services-VoIP', 'Location Limitations', 'Other Limitations', 'VoIP Service-Specific Limitations', 'Additional Information', 'Entire Agreement', 'Purchase Orders', 'Uniform Resource Locators (URLS)']",[]
121585078731_CenturyLink- Banner PT Sun City AZ-Meeker 103-SFA.pdf,CenturyLink.pdf,CENTURYLINK® TOTAL ADVANTAGE® EXPRESS - AGREEMENT - Summary Page,Telecommunications Services Agreement,"CenturyLink Sales Solutions, Inc.",Provider,BANNER PHYSICAL THERAPY,Customer,FIBER + ENTERPRISE IA PACKAGE,True,True,"['Services', 'Rates', 'Rate Changes', 'Additional Charges', 'Term and Termination', 'Term', 'Termination', 'Amendments', 'Additional Terms and Conditions', 'Payment', 'Notices', 'Service Notices', 'Legal Notice', 'Credit Approval', 'Disclaimer of Warranties', 'Limitations of Liability', 'Consequential Damages', 'Claims Related to Services', 'Personal Injury; Death; Property Damages', 'Other Direct Damages', '911 Emergency Services-VoIP', 'Location Limitations', 'Other Limitations', 'VoIP Service-Specific Limitations', 'Entire Agreement', 'Purchase Orders', 'Uniform Resource Locators (URLS)']",[]
121585078855_CenturyLink- Banner PT Sun City AZ-Meeker 301-SFA.pdf,CenturyLink Contract.pdf,CENTURYLINK® TOTAL ADVANTAGE® EXPRESS - AGREEMENT - Summary Page,Telecommunications Services Agreement,"CenturyLink Sales Solutions, Inc.",Provider,BANNER PHYSICAL THERAPY,Customer,FIBER + ENTERPRISE IA PACKAGE,True,True,"['Services', 'Rates', 'Rate Changes', 'Additional Charges', 'Term and Termination', 'Term', 'Termination', 'Amendments', 'Additional Terms and Conditions', 'Payment', 'Notices', 'Service Notices', 'Legal Notice', 'Credit Approval', 'Disclaimer of Warranties', 'Limitations of Liability', 'Consequential Damages', 'Claims Related to Services', 'Personal Injury; Death; Property Damages', 'Other Direct Damages', '911 Emergency Services-VoIP', 'Location Limitations', 'Other Limitations', 'VoIP Service-Specific Limitations', 'Entire Agreement', 'Purchase Orders', 'Uniform Resource Locators (URLS)']",[]
121585080190_CenturyLink- SSH  Tallahassee FL 507150.pdf,CenturyLink.pdf,CENTURYLINK® TOTAL ADVANTAGE® EXPRESS - AGREEMENT - Summary Page,Telecommunications Services Agreement,"CenturyLink Sales Solutions, Inc.",Provider,"DISTRIBUTED COMPUTING, INC.",Customer,Fiber+ Internet Bundle,True,True,"['Services', 'Rates', 'Rate Changes', 'Additional Charges', 'Term and Termination', 'Term', 'Termination', 'Amendments', 'Additional Terms and Conditions', 'Payment', 'Notices', 'Service Notices', 'Legal Notice', 'Credit Approval', 'Disclaimer of Warranties', 'Limitations of Liability', 'Consequential Damages', 'Claims Related to Services', 'Personal Injury; Death; Property Damages', 'Other Direct Damages', 'Entire Agreement', 'Purchase Orders', 'Uniform Resource Locators (URLS)']",[]
121585080375_CenturyLink SFA- SSM Health Phys Ther St Peter's 05860.pdf,CGT R.v82.061118.pdf,CENTURYLINK® TOTAL ADVANTAGE® EXPRESS - AGREEMENT - Summary Page,Telecommunications Services Agreement,"CenturyLink Sales Solutions, Inc.",Provider,SSM HEALTH PHYSICAL THERAPY,Customer,"Domestic CenturyLink IQ® Networking Pricing, Local Access",True,True,"['Services', 'Rates', 'Rate Changes', 'Additional Charges', 'Term and Termination', 'Term', 'Termination', 'Amendments', 'Additional Terms and Conditions', 'Payment', 'Notices', 'Service Notices', 'Legal Notice', 'Credit Approval', 'Disclaimer of Warranties', 'Limitations of Liability', 'Consequential Damages', 'Claims Related to Services', 'Personal Injury; Death; Property Damages', 'Other Direct Damages', 'Entire Agreement', 'Purchase Orders', 'Uniform Resource Locators (URLS)']",[]
1321599171952_41593529833_EA_Century Link_Salt Lake_upgrade.pdf,CenturyLink.pdf,Order,Telecommunications Services,CenturyLink,Provider,"Education Affiliates, Inc",Customer,"IQ Data Bundle, Local Access",False,True,"['Terms and Conditions Governing This Order', 'This confidential Order may not be disclosed to third parties and is non-binding until accepted by CenturyLink', 'Prior to installation, CenturyLink may notify Customer in writing (including by e-mail) of price increases due to off-net vendors.', ""If a generic demarcation point (such as a street address) is provided, the demarcation point for on-net services will be CenturyLink's Minimum Point of Entry (MPOE) at such location (as determined by CenturyLink)."", 'The Service identified in this Order is subject to the CenturyLink Master Service Agreement(s) and applicable Service Schedule(s) or Service Exhibit(s) between CenturyLink Communications, LLC and Customer', 'Notwithstanding anything in any Affiliate Agreement to the contrary, CenturyLink will notify Customer of acceptance of requested Service in this Order by delivering (in writing or electronically) the date by which CenturyLink will install Service', 'Neither party will be liable for any damages for lost profits, lost revenues, loss of goodwill, loss of anticipated savings, loss of data or cost of purchasing replacement service, or any indirect, incidental, special, consequential, exemplary or punitive damages arising out of the performance or failure to perform under this Order.', 'All transport services ordered from CenturyLink will be treated as interstate for regulatory purposes.', 'Charges for certain Services are subject to (a) a per month property tax surcharge and (b) a per month cost recovery fee to reimburse CenturyLink for various governmental taxes and surcharges.', ""Customer will pay CenturyLink's standard: (a) expedite charges (added to the NRC) if Customer requests a delivery date inside CenturyLink's standard interval duration (available upon request and (b) ancillary charges for additional activities, features or options."", 'Charges/Orders. CenturyLink will charge Customer the rates for the Services shown above.']","['Data Bundle Offer Attachment', 'CenturyLink IQ Networking, Local Access and Rental CPE Service Exhibits', 'Domestic Network Diversity Service Exhibit', 'Building Extension Service Service Schedule']"
1321600112147_41593530212_EA Century Link Foley 100MB.pdf,CenturyLink.pdf,Order,Service Order,CenturyLink,Provider,Distributed Computing Inc,Customer,"IQ Data Bundle, Local Access",False,True,['Terms and Conditions Governing This Order'],"['Data Bundle Offer Attachment', 'CenturyLink IQ Networking, Local Access and Rental CPE Service Exhibits', 'Domestic Network Diversity Service Exhibit', 'Building Extension Service Service Schedule']"
1571613500764_Maryvale-Ten4 Connect Bundle Addendum 021021-FE.pdf,Managed Services Agreement,Ten4 Connect Bundle Addendum to Managed Services Agreement,Managed Services Agreement,"Distributed Computing, Inc.",Provider,"Maryvale Preparatory School, Inc.",Customer,"Managed services including proactive monitoring, managing and problem resolution for telephone system equipment, hosted solutions, fixed cellular (internet access), fax management and connectivity.",True,True,"['Service Term', 'Coverage & Charges', 'Payments', 'Customer Obligations']","['Exhibit A', 'Exhibit B']"
1601593182435_Ped Eye Care-Ten4 MultiSvc 061520 (1).pdf,DocuSign Envelope ID: 756DC6D9-04A5-4759-8A2B-C425AA5E68FC,ADDENDUM to Master Services Agreement,Master Service Agreement,"Distributed Computing, Inc. dba Ten4",Provider,Pediatric Eye Care of Maryland,Customer,"Hosted Voice & Fax Solutions, Sierra Wireless Fixed Cellular (Internet Access)",True,True,"['Service Term', 'Coverage & Cost', 'Charges and Payments', 'Customer Obligations', 'Termination', 'Termination For Cause', 'Early Termination Fee']","['EXHIBIT A', 'EXHIBIT B']"
1601601312271_Ten4 WBG Addendum.pdf,contract.pdf,ADDENDUM to Master Services Agreement,Master Services Agreement Addendum,"Distributed Computing, Inc. dba Ten4",Provider,Kenlee Precision Corporation,Customer,Wireless broadband services,True,True,"['Service Term', 'Coverage & Usage', 'Payments', 'Customer Obligations', 'Termination']",[]
