Agreement Classification,Party1 Name,Party2 Name
Service Agreement,"CenturyLink Sales Solutions, Inc.",BANNER PHYSICAL THERAPY
Service Agreement,"CenturyLink Sales Solutions, Inc.",BANNER PHYSICAL THERAPY
Service Agreement,"CenturyLink Sales Solutions, Inc.",BANNER PHYSICAL THERAPY
Service Agreement,"CenturyLink Sales Solutions, Inc.","Distributed Computing, Inc."
Service Agreement,"CenturyLink Sales Solutions, Inc.",SSM HEALTH PHYSICAL THERAPY
Service Agreement,CenturyLink,"Education Affiliates, Inc"
Service Agreement,CenturyLink,Distributed Computing Inc
Addendum,"Distributed Computing, Inc. dba Ten4","Maryvale Preparatory School, Inc."
Addendum,"Distributed Computing, Inc. dba Ten4",Pediatric Eye Care of Maryland
Addendum,"Distributed Computing, Inc. dba Ten4",KZ.) [eg Qeecraoa Corgofahou
Master Service Agreement,"Comcast Cable Communications Management, LLC","Francisco Partners Management, LP"
Master Service Agreement,"Comcast Cable Communications Management, LLC",Travelzoo
Master Service Agreement,"Comcast Cable Communications Management, LLC","Travelzoo, Inc."
Master Service Agreement,AT&T Corp. d/b/a ACC Business,Landcare
Master Service Agreement,NITEL INC.,"Concentra Health Services, Inc."
Master Service Agreement,NITEL INC.,"Concentra Health Services, Inc."
Master Service Agreement,NITEL INC.,SELECT MEDICAL CORPORATION
Master Service Agreement,Verizon Business Network Services LLC,"TREX COMPANY, INC"
Master Service Agreement,"Comcast Cable Communications Management, LLC",Trex Company Inc.
Master Service Agreement,ACC Business,Select Medical Corporation
Master Service Agreement,"Comcast Cable Communications Management, LLC",Concentra Health Services
Vendor Agreement,Select Medical Corporation,Concentra
Master Service Agreement,"Comcast Cable Communications Management, LLC",Select Medical Corporation
Vendor Agreement,Select Medical Corporation,Concentra
Master Service Agreement,AT&T Corp. d/b/a ACC Business,Select Medical Corporation
Master Service Agreement,AT&T Corp. d/b/a ACC Business,Select Medical Corporation
Master Service Agreement,AT&T Corp. d/b/a ACC Business,Select Medical Corporation
Master Service Agreement,AT&T Corp. d/b/a ACC Business,Acorn Health
Master Service Agreement,NITEL INC.,"Autism Living Experience, LLC"
Master Service Agreement,"Comcast Cable Communications Management, LLC",Pull A Part LLC
Master Service Agreement,"Comcast Cable Communications Management, LLC",Pull A Part LLC
Master Service Agreement,AT&T Corp. d/b/a ACC Business,Modern Animal
Master Service Agreement,"Distributed Computing, Inc. dba Ten4","Valor Healthcare, Inc."
Master Service Agreement,"Distributed Computing, Inc. dba Ten4","Valor Healthcare, Inc."
Master Service Agreement,"Distributed Computing, Inc. dba Ten4","Valor Healthcare, Inc."
Service Agreement,"Frontier Communications of America, Inc.",Southeastern Paper Group
Service Agreement,"Frontier Communications of America, Inc.",Southeastern Paper Group
Master Service Agreement,"Comcast Cable Communications Management, LLC",Southeastern Paper Group
Service Agreement,"Frontier Communications Parent, Inc.",Not specified.
Service Agreement,"Frontier Communications Parent, Inc.",Customer
Service Agreement,Crown Castle,Chardan Capital Markets LLC
Master Service Agreement,AT&T Corp. d/b/a ACC Business,AT&T Corp.
Master Service Agreement,"Comcast Cable Communications Management, LLC",Waxie's Enterprises LLC
Master Service Agreement,"Comcast Cable Communications Management, LLC",Waxie's Enterprises LLC
Service Agreement,"Comcast Cable Communications Management, LLC",Education Affiliates
Master Service Agreement,"Comcast Cable Communications Management, LLC",North American Corp.
Master Service Agreement,"Comcast Cable Communications Management, LLC",North American Corp.
Service Agreement,Blue Stream,Customer
Master Service Agreement,"Comcast Cable Communications Management, LLC",Atlanta History Center
Master Service Agreement,"Comcast Cable Communications Management, LLC",Atlanta History Center
Master Service Agreement,"Comcast Cable Communications Management, LLC",Trex Company Inc
Master Service Agreement,AT&T Corp. d/b/a ACC Business,"Removery, LLC"
Master Service Agreement,AT&T Corp. d/b/a ACC Business,Powerback
Master Service Agreement,"Distributed Computing, Inc. dba Ten4","Trex Company, Inc."
Master Service Agreement,"Comcast Cable Communications Management, LLC",Vox Church
Master Service Agreement,"Comcast Cable Communications Management, LLC",Vox Church
Master Service Agreement,ACC Business,"AT&T Enterprises, LLC d/b/a ACC Business"
Master Service Agreement,"Comcast Cable Communications Management, LLC",County of Lancaster
Master Service Agreement,AT&T Corp. d/b/a ACC Business,Acorn Health
Master Service Agreement,"AT&T Enterprises, LLC d/b/a ACC Business","AT&T Enterprises, LLC d/b/a ACC Business"
Addendum,Spectrotel Holding Company LLC,Powerback
Service Agreement,"Frontier Communications Parent, Inc.",Select Medical Corporation DBA: Ten4 for Select Rehabilitation Hospital of Denton
Master Service Agreement,"Zoom Video Communications, Inc.",Select Medical Corporation
Master Service Agreement,"Zoom Video Communications, Inc.",Select Medical Corporation
Master Service Agreement,Lumen Technologies Group,Select Medical Corporation
Service Agreement,"Frontier Communications of America, Inc.",Select Medical Corporation dba Ten4 for SPT - Danbury CT
Service Agreement,"Frontier Communications Parent, Inc.",Select Medical Corporation dba Ten4 for SPT - Danbury CT
Master Service Agreement,ACC Business,Select Medical Corporation
Master Service Agreement,AT&T Corp. d/b/a ACC Business,Select Medical Corporation
Addendum,MetroNet,Not specified.
Master Service Agreement,AT&T Corp. d/b/a ACC Business,Concentra Health Services Inc.
Master Service Agreement,"GTT Americas, LLC",Concentra Health Services Inc.
Master Service Agreement,"LINGO TELECOM, LLC. DBA LINGO",SELECT MEDICAL CORPORATION
Master Service Agreement,"LINGO TELECOM, LLC. DBA LINGO",SELECT MEDICAL CORPORATION
Master Service Agreement,"Comcast Cable Communications Management, LLC",Johnston Paper Inc.
Master Service Agreement,"Comcast Cable Communications Management, LLC",Johnston Paper Inc.
Master Service Agreement,"Thrive Operations, LLC",Cavender Auto
Master Service Agreement,"Comcast Cable Communications Management, LLC",Concentra Health Services Inc
Master Service Agreement,"Comcast Cable Communications Management, LLC",Concentra Health Services Inc
Master Service Agreement,"Comcast Cable Communications Management, LLC",Concentra Health Services Inc.
Master Service Agreement,"Comcast Cable Communications Management, LLC",Concentra Health Services Inc.
Master Service Agreement,Grayson Collin Communications,Select Medical Corporation
Service Agreement,Fifth Third Bank,"Titanium Processing, Inc."
Master Service Agreement,Equinix,Select Medical Corporation
Master Service Agreement,Equinix LLC,Select Medical Corporation
Master Service Agreement,Equinix,Select Medical Corporation
Master Service Agreement,Equinix LLC,Select Medical Corporation
Master Service Agreement,"RingCentral, Inc.",Catalyst Technology Group (CTG)
Master Service Agreement,"RingCentral, Inc.",Catalyst Technology Group (CTG)
Master Service Agreement,"RingCentral, Inc.",Catalyst Technology Group (CTG)
Service Agreement,"BarConnects, LLC",Not specified
Addendum,Ten4,Behavioral Innovations
Master Service Agreement,NITEL INC.,"Concentra Health Services, Inc."
Addendum,"Distributed Computing, Inc. dba Ten4",Pediatric Eye Care of Maryland
Master Service Agreement,"Comcast Cable Communications Management, LLC",The Customer
Master Service Agreement,ACC Business,Education Affiliates Inc
Master Service Agreement,AT&T Corp. d/b/a ACC Business,"Peterbilt of Knoxville, Inc dba The Peterbilt Store of Columbia"
